title,price,url,total_rating
"Galaxy A26 5G, Android Smartphone, 128GB Storage, 6GB RAM, White, 50MP Camera, Large Display, Long Battery Life 1 Year Warranty/Local Version","11,599",https://m.media-amazon.com/images/I/61agMh0WTFL._AC_UL320_.jpg,193
"Galaxy Tab S6 Lite, Octa-Core Processor up to 2.4GHz, 128GB Storage 4GB RAM Wi-Fi S Pen 10.4-Inch FHD Display Android Tablet, Pink -1 Year Warranty/Local Version","11,541",https://m.media-amazon.com/images/I/51sFTz6HNlL._AC_UL320_.jpg,8
"Galaxy M55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Denim Black 1 Year Warranty/Local Version","14,999",https://m.media-amazon.com/images/I/71+d4rChCCL._AC_UL320_.jpg,48
"Galaxy A26 5G, Android Smartphone, 128GB Storage, 6GB RAM, Peach Pink, 50MP Camera, Large Display, Long Battery Life 1 Year Warranty/Local Version","12,240",https://m.media-amazon.com/images/I/61I3eXCua5L._AC_UL320_.jpg,193
"Microwave oven 40 L, Tact & Dial, LED Display, Black (local warranty)","8,700",https://m.media-amazon.com/images/I/71JBggIJHdL._AC_UL320_.jpg,17
"Galaxy A06 Dual Sim 4GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Light Blue- 1 Year Warranty/Local Version","5,524",https://m.media-amazon.com/images/I/61asGlxdMOL._AC_UL320_.jpg,"2,453"
"Galaxy A06 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Black- 1 Year Warranty/Local Version","5,578",https://m.media-amazon.com/images/I/71OVNSFWVLL._AC_UL320_.jpg,"2,453"
"Galaxy A36 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome Lavender, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version","17,496",https://m.media-amazon.com/images/I/61VRYoVZCLL._AC_UL320_.jpg,195
"Galaxy A56 5G, Android Smartphone, 128GB Storage, 8GB RAM, Awesome Graphite, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","19,555",https://m.media-amazon.com/images/I/61D0tlf9a7L._AC_UL320_.jpg,745
"Galaxy A56 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome Lightgray, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","22,359",https://m.media-amazon.com/images/I/61wjqIirjZL._AC_UL320_.jpg,745
"Galaxy Buds3 Pro, Wireless Bluetooth Earbuds with Adaptive: Noise Control, Hi-Fi Sound, 360 Audio-Silver - 1 Year Local Warranty","5,684",https://m.media-amazon.com/images/I/61JHEfCeJOL._AC_UL320_.jpg,380
"Galaxy M55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Light Green 1 Year Warranty/Local Version","14,999",https://m.media-amazon.com/images/I/71a3QoZJqPL._AC_UL320_.jpg,48
43 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA43T5300AUXEG,"13,350",https://m.media-amazon.com/images/I/61DOcUmc0EL._AC_UL320_.jpg,738
"RB34T672FB1 No Frost 340 Liter Refrigerator - 12 Cubic Feet with Freezer on Bottom, Black- (local warranty)","27,585",https://m.media-amazon.com/images/I/41XL3TUPT1L._AC_UL320_.jpg,170
"Galaxy Buds FE, Wireless, with Charging Case, ANC and Sound Customization, White, SM-R400NZWAMEA-1 Year Local Warranty","2,399",https://m.media-amazon.com/images/I/41eKlItSQQL._AC_UL320_.jpg,741
"WA11 Top Load Washing Machine, 11 kg Capacity, Grey","13,399",https://m.media-amazon.com/images/I/51R7eYhlqeL._AC_UL320_.jpg,8
"Galaxy A56 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome Pink, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","22,832",https://m.media-amazon.com/images/I/616NyCNk6UL._AC_UL320_.jpg,745
